"","CAMPUS","CDB00A001219R","CDB00A001019D","CDH00A001219R","CDH00A001019D","CDW00A001219R","CDW00A001019D"
"311",15806003,37,60,53,122,-1,-1
"312",15806041,15,-3,25,161,,
"313",15806101,17,23,34,196,20,5
"314",15806106,16,96,41,61,0,5
"315",15807001,21,19,13,60,80,5
"316",15807002,13,93,25,177,21,14
"317",15807004,27,15,29,386,47,19
"318",15807005,26,38,21,160,58,12
"319",15807101,30,10,10,106,-1,-1
"320",15807102,-1,-1,30,67,34,106
"321",15808001,,,-1,-1,,
"322",15808003,,,,,,
"323",15808007,,,,,,
"324",15808009,7,14,39,507,50,212
"325",15808010,,,,,-1,-1
"326",15808011,,,,,,
"327",15808012,,,,,,
"328",15808014,,,,,,
"329",15809101,40,10,27,354,17,6
"330",15814001,29,-3,21,145,-1,-1
"331",15815001,18,38,27,51,24,17
"332",15815041,,,51,241,67,-3
"333",15815042,60,-3,34,429,75,28
"334",15815101,33,-3,48,79,69,13
"335",15815104,47,34,55,51,70,-3
"336",15822001,25,264,26,1718,31,101
"337",15822002,13,47,22,1365,28,98
"338",15822004,0,8,16,877,32,28
"339",15822005,53,40,30,412,62,37
"340",15822006,-1,-1,31,424,40,42
"341",15822007,,,50,338,60,5
"342",15822008,0,-3,40,294,68,25
"343",15822009,25,326,33,518,45,275
"344",15822010,,,40,2079,43,80
"345",15822011,,,22,197,0,7
"346",15825001,38,32,29,419,45,20
"347",15825101,,,,,,
"348",15827001,54,48,62,465,67,186
"349",15827002,64,78,63,429,59,209
"350",15827003,38,255,33,379,51,65
"351",15827004,21,162,28,211,-1,-1
"352",15828001,45,131,45,1214,55,216
"353",15828002,30,187,35,478,42,101
"354",15828003,,,46,1692,40,58
"355",15828004,-1,-1,40,838,,
"356",15828005,,,38,779,50,14
"357",15828006,42,62,40,546,52,65
"358",15828007,,,53,922,72,36
"359",15828008,100,-3,66,596,69,36
"360",15830001,23,73,26,2748,38,162
"361",15830101,38,128,32,1767,50,232
"362",15830102,0,-3,43,90,71,14
"363",15830103,42,26,56,107,46,24
"364",15831001,63,49,45,590,73,138
"365",15831002,37,65,45,1476,56,294
"366",15831003,60,296,50,175,58,52
"367",15831004,60,20,40,81,90,41
"368",15831005,47,32,80,15,-1,-1
"369",15833001,-1,-1,51,158,64,14
"370",15834001,80,69,83,567,88,727
"371",15834002,29,51,50,331,72,254
"372",15834101,55,40,62,183,73,154
"373",15835001,57,14,62,312,77,218
"374",15835002,19,16,58,513,79,466
"375",15835003,66,-3,59,775,69,1125
"376",15835004,48,56,59,240,73,736
"377",15835005,25,28,26,357,38,136
"378",15836001,-1,-1,63,333,71,180
"379",15838001,-1,-1,38,440,85,26
"380",15901001,74,35,57,857,78,950
"381",15901041,48,82,50,1345,74,1719
"382",15901101,36,39,34,546,61,689
"383",15901102,,,,,,
"384",15901104,42,31,50,540,65,715
"385",15904001,13,16,47,2700,44,16
"386",15904002,-1,-1,47,2402,63,60
"387",15904003,,,,,,
"388",15904004,,,11,202,-1,-1
"389",15904007,,,,,,
"390",15904008,,,,,,
"391",15904010,,,,,,
"392",15904011,-1,-1,68,363,-1,-1
"393",15904041,60,-3,40,2319,52,27
"394",15904042,-1,-1,34,2187,-1,-1
"395",15904043,,,39,1994,35,20
"396",15904044,,,38,1777,59,-3
"397",15904045,,,,,,
"398",15904046,,,,,,
"399",15904047,,,,,,
"400",15904048,,,15,104,,
"401",15904101,-1,-1,43,559,17,-3
"402",15904102,,,34,655,25,8
"403",15904103,,,39,564,,
"404",15904104,0,6,29,532,-1,-1
"405",15904105,,,30,634,,
"406",15904106,0,5,31,829,,
"407",15904107,,,49,669,13,8
"408",15904108,,,45,843,48,29
"409",15904109,,,47,481,46,13
"410",15904110,,,35,464,20,5
"411",15904113,,,48,460,18,11
"412",15904114,,,33,-3,-1,-1
"413",15904115,,,-1,-1,,
"414",15904116,-1,-1,38,-3,,
"415",15904117,,,,,,
"416",15905002,41,17,36,1666,50,6
"417",15905003,47,43,39,1921,50,14
"418",15905010,,,,,,
"419",15905015,,,46,323,,
"420",15905041,38,16,25,1496,29,7
"421",15905042,,,,,,
"422",15905044,26,35,26,1589,22,9
"423",15905046,7,-3,26,1854,,
"424",15905104,-1,-1,36,615,-1,-1
"425",15905106,22,9,25,478,,
"426",15905108,-1,-1,22,-3,,
"427",15905109,39,18,25,591,,
"428",15905110,60,5,18,537,,
"429",15905112,22,9,26,713,,
"430",15905113,-1,-1,23,614,17,-3
"431",15905114,0,5,24,529,,
"432",15905116,13,-3,22,529,16,19
"433",15905117,9,22,25,527,,
"434",15905118,,,,,,
"435",15905125,,,,,,
"436",15906001,66,147,74,133,85,220
"437",15906041,50,232,63,200,74,452
"438",15906101,66,148,73,196,79,296
"439",15907001,65,62,42,2216,42,24
"440",15907002,60,-3,33,1662,73,11
"441",15907003,16,25,34,2298,63,27
"442",15907004,62,13,68,444,75,12
"443",15907005,32,117,37,1934,37,35
"444",15907006,25,571,27,877,69,13
"445",15907007,25,40,35,2355,49,37
"446",15907008,17,54,25,2534,43,7
"447",15907010,,,,,,
"448",15907020,,,,,,
"449",15907022,83,6,94,388,100,18
"450",15907023,94,17,89,879,96,23
"451",15907024,9,23,17,369,36,14
"452",15907025,67,61,63,358,83,-3
"453",15907026,35,37,50,1229,69,131
"454",15907027,53,19,63,379,81,37
"455",15907030,0,14,8,378,20,5
"456",15907043,25,560,21,898,19,27
"457",15907047,100,6,23,2073,11,9
"458",15907049,50,-3,36,787,-1,-1
"459",15907050,13,40,25,2424,30,37
"460",15907051,9,11,19,961,27,15
"461",15907053,-1,-1,16,248,-1,-1
"462",15907054,21,67,22,1153,93,14
"463",15907055,30,67,28,1610,86,7
"464",15907057,20,93,17,1051,65,31
"465",15907059,17,-3,37,2137,43,35
"466",15907061,21,19,20,1334,27,15
"467",15907064,17,6,3,37,,
"468",15907101,55,11,36,562,8,12
"469",15907103,17,29,29,1022,43,-3
"470",15907105,31,35,46,402,41,34
"471",15907106,19,21,26,617,0,-3
"472",15907107,0,-3,32,872,76,66
"473",15907110,26,23,24,673,22,9
"474",15907112,,,31,552,,
